,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2,Mataura,NZ,73.31,moderate rain,-46.19,168.86,Ellie's Villa
6,Safford,US,78.8,clear sky,32.83,-109.71,SpringHill Suites by Marriott Thatcher
18,Busselton,AU,72.0,broken clouds,-33.65,115.33,Observatory Guest House
20,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
23,Avarua,CK,75.2,scattered clouds,-21.21,-159.78,Paradise Inn
25,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.08,Scoop Guest House
27,Rikitea,PF,74.89,overcast clouds,-23.12,-134.97,Pension Maro'i
28,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
31,Nouadhibou,MR,73.4,clear sky,20.93,-17.03,El Medina
47,Port Blair,IN,83.07,broken clouds,11.67,92.75,Fortune Resort Bay Island
51,Sumenep,ID,87.19,broken clouds,-7.02,113.87,OYO 3271 Homestay Pandian
52,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
54,Jiazi,CN,73.0,broken clouds,22.88,116.07,Hotel Jin Hao
55,Atuona,PF,78.49,light rain,-9.8,-139.03,Villa Enata
56,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
61,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
66,Soe,ID,89.08,scattered clouds,-9.86,124.28,Dena Hotel
68,Mankono,CI,71.64,broken clouds,8.06,-6.19,Hotel Cajoux
69,Butaritari,KI,81.05,broken clouds,3.07,172.79,Isles Sunset Lodge
72,Ixtapa,MX,86.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
73,Kokopo,PG,84.96,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
75,Inhambane,MZ,72.23,broken clouds,-23.86,35.38,Oceano
79,Boca Do Acre,BR,75.67,moderate rain,-8.75,-67.4,Hotel Linhares
85,Carnarvon,AU,75.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
87,Pokaran,IN,75.6,clear sky,26.92,71.92,Motel Pokaran - RTDC
89,Nellikkuppam,IN,79.79,overcast clouds,11.77,79.68,Masjid-e-sulthaniya
90,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
93,Moerai,PF,72.84,light rain,-22.43,-151.33,Le Manotel
96,Cotonou,BJ,80.6,few clouds,6.37,2.42,Novotel Cotonou Orisha
98,Acarau,BR,78.98,clear sky,-2.89,-40.12,castelo pizzaria
100,Tura,IN,73.45,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
102,Arraial Do Cabo,BR,70.2,moderate rain,-22.97,-42.03,Pousada Porto Praia
103,Salalah,OM,71.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
104,Hobyo,SO,79.14,overcast clouds,5.35,48.53,Osmani Hotel
105,Manzanillo,CU,77.9,light rain,20.34,-77.12,Adrian & Tonia
106,Saint-Philippe,RE,71.6,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
110,Caravelas,BR,75.63,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
111,Manaure,CO,82.09,overcast clouds,11.78,-72.44,Del mar vendra
114,Vega De Alatorre,MX,77.58,light rain,20.03,-96.63,Hotel Deluxe
115,Catamarca,AR,84.0,light rain,-28.47,-65.79,Amerian Catamarca Park Hotel
123,Shilong,CN,75.2,broken clouds,23.11,113.84,Cinese Hotel Dongguan Shijie
129,Bosaso,SO,77.02,overcast clouds,11.28,49.18,Red Sea Hotel
131,Laem Sing,TH,84.99,broken clouds,12.48,102.07,Laemsing Whitehouse Resort
134,Ugoofaaru,MV,83.46,light rain,5.67,73.0,Ungoofaaru Inn
139,Palizada,MX,74.89,overcast clouds,18.25,-92.08,Hotel San Joaquín
141,Airai,TL,79.83,broken clouds,-8.93,125.41,Juvinal Martin
142,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
153,Key West,US,84.2,mist,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
154,Lorengau,PG,86.29,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
158,Cabo San Lucas,MX,84.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
160,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
168,Macouria,GF,80.6,few clouds,4.92,-52.37,Hôtel Le Dronmi
171,Mareeba,AU,88.0,scattered clouds,-17.0,145.43,Trinity Plains Tourist Park
172,Rondonopolis,BR,77.07,broken clouds,-16.47,-54.64,Serras Hotel
173,Faanui,PF,79.23,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Banjar,ID,86.0,scattered clouds,-8.19,114.97,The Hamsa Resort
178,Saint-Leu,RE,71.6,clear sky,-21.15,55.28,La Caz Oceane
179,Daru,PG,84.38,broken clouds,-9.08,143.21,New century hotel
