,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,10/25/2020 1:59,22.08,-159.32,84.2,66,20,12.75,few clouds
1,Chuy,UY,10/25/2020 2:03,-33.7,-53.46,61.47,97,9,4.09,clear sky
2,Mataura,NZ,10/25/2020 2:00,-46.19,168.86,73.31,46,100,14.12,moderate rain
3,Mar Del Plata,AR,10/25/2020 2:01,-38,-57.56,61,100,90,5.82,overcast clouds
4,Leningradskiy,RU,10/25/2020 2:03,69.38,178.42,23.86,92,0,9.4,clear sky
5,Tuktoyaktuk,CA,10/25/2020 2:03,69.45,-133.04,23,79,75,12.75,broken clouds
6,Safford,US,10/25/2020 2:03,32.83,-109.71,78.8,22,1,3.36,clear sky
7,Rundu,NA,10/25/2020 2:02,-17.93,19.77,68.61,28,32,3.2,scattered clouds
8,Puerto Ayora,EC,10/25/2020 2:03,-0.74,-90.35,66.99,97,100,8.01,overcast clouds
9,Upernavik,GL,10/25/2020 2:03,72.79,-56.15,21.85,93,88,7.7,overcast clouds
10,Cape Town,ZA,10/25/2020 2:00,-33.93,18.42,62.01,82,40,2.24,scattered clouds
11,Ilyich,KZ,10/25/2020 2:03,40.85,68.51,40.26,67,0,3.11,clear sky
12,New Norfolk,AU,10/25/2020 2:03,-42.78,147.06,57.99,44,75,1.01,broken clouds
13,Bethel,US,10/25/2020 2:03,41.37,-73.41,46.99,78,38,1.99,scattered clouds
14,Punta Arenas,CL,10/25/2020 2:02,-53.15,-70.92,42.8,93,90,13.87,overcast clouds
15,Hermanus,ZA,10/25/2020 2:03,-34.42,19.23,61,84,37,1.01,scattered clouds
16,Port Alfred,ZA,10/25/2020 2:03,-33.59,26.89,65.17,90,1,7.18,clear sky
17,Saint-Pierre,RE,10/25/2020 2:03,-21.34,55.48,68,49,0,6.93,clear sky
18,Busselton,AU,10/25/2020 2:03,-33.65,115.33,72,48,62,4,broken clouds
19,Fairbanks,US,10/25/2020 2:00,64.84,-147.72,28.99,79,40,1.9,scattered clouds
20,Hilo,US,10/25/2020 2:03,19.73,-155.09,84.2,66,20,16.11,few clouds
21,Severo-Kurilsk,RU,10/25/2020 2:03,50.68,156.12,48.13,90,100,3.78,overcast clouds
22,College,US,10/25/2020 2:03,64.86,-147.8,28.99,73,75,4.7,broken clouds
23,Avarua,CK,10/25/2020 2:03,-21.21,-159.78,75.2,73,37,16.11,scattered clouds
24,Muros,ES,10/25/2020 2:03,42.78,-9.06,57.99,96,100,10,overcast clouds
