   ,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,2020-10-25 07:30:44,22.08,-159.32,77.0,83,1,8.05,clear sky
1,Tuktoyaktuk,CA,2020-10-25 07:30:48,69.45,-133.04,18.12,92,1,16.08,clear sky
2,Jalu,LY,2020-10-25 07:30:49,29.03,21.55,70.95,50,0,1.86,clear sky
3,San Patricio,US,2020-10-25 07:30:50,28.02,-97.52,70.0,82,75,4.7,broken clouds
4,Qaanaaq,GL,2020-10-25 07:30:53,77.48,-69.36,18.5,90,92,11.95,overcast clouds
5,Saint-Philippe,RE,2020-10-25 07:30:53,-21.36,55.77,80.6,61,20,26.4,few clouds
6,Busselton,AU,2020-10-25 07:30:54,-33.65,115.33,84.0,30,40,4.0,scattered clouds
7,Hithadhoo,MV,2020-10-25 07:30:55,-0.6,73.08,83.97,72,2,9.51,clear sky
8,Mataura,NZ,2020-10-25 07:30:56,-46.19,168.86,48.0,95,100,5.01,light rain
9,Arraial Do Cabo,BR,2020-10-25 07:30:57,-22.97,-42.03,70.9,91,100,31.7,light rain
10,Hobart,AU,2020-10-25 07:30:58,-42.88,147.33,53.6,50,20,16.11,few clouds
11,Yellowknife,CA,2020-10-25 07:30:07,62.46,-114.35,21.99,79,75,6.93,broken clouds
12,Punta Arenas,CL,2020-10-25 07:31:00,-53.15,-70.92,41.0,93,90,6.93,overcast clouds
13,Portland,US,2020-10-25 07:27:40,45.52,-122.68,43.0,48,1,14.99,clear sky
14,Rikitea,PF,2020-10-25 07:31:05,-23.12,-134.97,73.51,84,100,13.13,moderate rain
15,Bengkulu,ID,2020-10-25 07:31:06,-3.8,102.27,80.28,79,100,2.3,light rain
16,Port Alfred,ZA,2020-10-25 07:31:07,-33.59,26.89,69.64,75,100,18.1,overcast clouds
17,East London,ZA,2020-10-25 07:31:09,-33.02,27.91,69.8,83,75,14.99,broken clouds
18,Jamestown,US,2020-10-25 07:31:10,42.1,-79.24,36.0,90,1,2.8,clear sky
19,Salalah,OM,2020-10-25 07:31:10,17.02,54.09,87.8,31,0,5.82,clear sky
20,Paamiut,GL,2020-10-25 07:31:11,61.99,-49.67,32.36,89,100,15.9,overcast clouds
21,Ippy,CF,2020-10-25 07:31:12,6.27,21.22,80.65,76,100,2.39,overcast clouds
22,Aksarka,RU,2020-10-25 07:31:12,66.56,67.8,13.32,96,0,7.23,clear sky
23,Flinders,AU,2020-10-25 07:31:14,-34.58,150.86,55.99,87,100,4.0,light rain
24,Sam Roi Yot,TH,2020-10-25 07:31:14,12.27,99.87,86.0,62,20,8.05,few clouds
25,Coquimbo,CL,2020-10-25 07:29:09,-29.95,-71.34,53.6,87,0,4.7,clear sky
26,Avarua,CK,2020-10-25 07:30:51,-21.21,-159.78,73.4,78,53,12.75,broken clouds
27,Puntarenas,CR,2020-10-25 07:31:18,9.98,-84.84,68.0,100,75,5.82,broken clouds
28,Cape Town,ZA,2020-10-25 07:27:22,-33.93,18.42,64.4,72,75,4.7,broken clouds
29,Sorland,NO,2020-10-25 07:31:20,67.67,12.69,43.66,61,100,29.55,overcast clouds
30,Esperance,AU,2020-10-25 07:31:21,-33.87,121.9,75.2,36,0,6.93,clear sky
31,Timmins,CA,2020-10-25 07:30:03,48.47,-81.33,26.6,100,90,4.7,overcast clouds
32,Atuona,PF,2020-10-25 07:28:28,-9.8,-139.03,78.73,75,0,20.87,clear sky
33,Lamesa,US,2020-10-25 07:31:24,32.74,-101.95,53.6,62,90,5.82,overcast clouds
34,Albany,US,2020-10-25 07:30:28,42.6,-73.97,39.99,70,99,1.01,overcast clouds
35,Cherskiy,RU,2020-10-25 07:31:26,68.75,161.3,11.52,96,73,3.27,broken clouds
36,Port Elizabeth,ZA,2020-10-25 07:31:27,-33.92,25.57,68.0,82,90,17.22,overcast clouds
37,Airai,TL,2020-10-25 07:31:28,-8.93,125.41,72.25,78,92,2.66,light rain
38,Nemuro,JP,2020-10-25 07:31:29,43.32,145.57,48.2,70,20,3.36,few clouds
39,Kolyshley,RU,2020-10-25 07:31:30,52.7,44.54,46.99,96,100,7.83,light rain
40,Galesong,ID,2020-10-25 07:31:31,-5.32,119.37,84.2,79,20,6.93,few clouds
41,Nerchinskiy Zavod,RU,2020-10-25 07:31:34,51.31,119.61,38.61,69,77,1.79,broken clouds
42,Hasaki,JP,2020-10-25 07:31:35,35.73,140.83,72.0,37,20,6.93,few clouds
43,Provideniya,RU,2020-10-25 07:31:37,64.38,-173.3,32.59,91,7,7.87,clear sky
44,Sayat,TM,2020-10-25 07:31:37,38.78,63.88,64.4,27,0,6.93,clear sky
45,Puerto Ayora,EC,2020-10-25 07:31:38,-0.74,-90.35,66.99,95,99,5.99,overcast clouds
46,Mar Del Plata,AR,2020-10-25 07:31:39,-38.0,-57.56,59.0,100,90,6.93,mist
47,Hilo,US,2020-10-25 07:31:40,19.73,-155.09,78.8,83,90,8.99,heavy intensity rain
48,Dikson,RU,2020-10-25 07:31:41,73.51,80.55,17.51,95,93,9.13,overcast clouds
49,Tongliao,CN,2020-10-25 07:31:42,43.61,122.27,53.6,41,83,5.32,broken clouds
50,Laguna,US,2020-10-25 07:31:44,38.42,-121.42,57.2,82,1,8.05,clear sky
51,Hami,CN,2020-10-25 07:31:44,42.8,93.45,57.18,32,0,5.32,clear sky
52,Longyearbyen,SJ,2020-10-25 07:31:47,78.22,15.64,23.0,79,75,4.7,broken clouds
53,Seabra,BR,2020-10-25 07:31:48,-12.42,-41.77,67.19,90,100,4.63,overcast clouds
54,Manuk Mangkaw,PH,2020-10-25 07:31:49,4.8,119.85,83.19,75,93,6.4,moderate rain
55,Los Llanos De Aridane,ES,2020-10-25 07:31:50,28.66,-17.92,69.8,64,40,10.29,scattered clouds
56,Matara,LK,2020-10-25 07:31:51,5.95,80.54,87.62,60,98,13.04,overcast clouds
57,Kambove,CD,2020-10-25 07:31:52,-10.88,26.6,80.96,29,87,7.81,overcast clouds
58,Ostrovnoy,RU,2020-10-25 07:31:54,68.05,39.51,33.15,89,90,16.93,overcast clouds
59,Upernavik,GL,2020-10-25 07:31:55,72.79,-56.15,17.49,84,0,8.21,clear sky
60,Aklavik,CA,2020-10-25 07:31:56,68.22,-135.01,15.8,72,40,4.05,scattered clouds
61,Victoria,HK,2020-10-25 07:31:58,22.29,114.16,78.01,63,99,1.01,overcast clouds
62,Kulhudhuffushi,MV,2020-10-25 07:31:59,6.62,73.07,82.8,75,92,11.5,light rain
63,Ushuaia,AR,2020-10-25 07:28:22,-54.8,-68.3,42.8,83,40,6.93,scattered clouds
64,Springbok,ZA,2020-10-25 07:32:00,-29.66,17.89,68.0,24,0,12.75,clear sky
65,Duvan,RU,2020-10-25 07:32:00,55.7,57.9,42.57,87,99,7.76,overcast clouds
66,Lompoc,US,2020-10-25 07:32:05,34.64,-120.46,62.6,72,90,4.76,overcast clouds
67,Praia Da Vitoria,PT,2020-10-25 07:32:06,38.73,-27.07,64.4,72,40,13.11,scattered clouds
68,Zharkent,KZ,2020-10-25 07:32:07,44.16,80.0,55.81,36,16,3.31,few clouds
69,Barrow,US,2020-10-25 07:32:08,71.29,-156.79,28.4,68,90,9.17,overcast clouds
70,Ambulu,ID,2020-10-25 07:32:10,-8.35,113.61,83.68,76,100,6.89,overcast clouds
71,Bam,IR,2020-10-25 07:32:10,29.11,58.36,74.43,18,0,13.42,clear sky
72,Hamilton,US,2020-10-25 07:27:58,39.18,-84.53,46.4,70,90,8.05,overcast clouds
73,Mahebourg,MU,2020-10-25 07:32:11,-20.41,57.7,78.8,57,75,18.34,shower rain
74,Butaritari,KI,2020-10-25 07:32:12,3.07,172.79,81.28,70,95,7.54,overcast clouds
75,Srednekolymsk,RU,2020-10-25 07:32:13,67.45,153.68,15.44,96,93,2.8,overcast clouds
76,Byron Bay,AU,2020-10-25 07:32:05,-28.65,153.62,77.0,88,99,13.87,moderate rain
