City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,RU,2020-10-25 16:07:06,65.58,-171.0,32.43,94,74,10.67,broken clouds
1,Ascension,US,2020-10-25 16:07:07,30.22,-90.9,64.0,82,90,5.82,overcast clouds
2,Longyearbyen,SJ,2020-10-25 16:07:08,78.22,15.64,28.4,74,75,10.29,broken clouds
3,Luderitz,NA,2020-10-25 16:07:09,-26.65,15.16,71.19,44,29,26.73,scattered clouds
4,Kishorganj,BD,2020-10-25 16:07:09,24.43,90.77,76.59,88,2,2.24,clear sky
5,Bluff,NZ,2020-10-25 16:07:10,-46.6,168.33,45.0,96,100,9.46,light rain
6,Ushuaia,AR,2020-10-25 16:07:11,-54.8,-68.3,48.2,57,40,5.82,scattered clouds
7,Punta Arenas,CL,2020-10-25 16:06:43,-53.15,-70.92,42.8,81,75,6.93,broken clouds
8,Mar Del Plata,AR,2020-10-25 16:07:11,-38.0,-57.56,64.4,93,90,6.93,light rain
9,Kapaa,US,2020-10-25 16:03:43,22.08,-159.32,77.5,75,3,3.74,clear sky
10,Torbay,CA,2020-10-25 16:03:17,47.67,-52.73,48.99,100,90,20.8,mist
11,Avarua,CK,2020-10-25 16:07:12,-21.21,-159.78,73.4,73,80,10.29,broken clouds
12,Hobart,AU,2020-10-25 16:03:10,-42.88,147.33,48.2,61,90,6.93,overcast clouds
13,East London,ZA,2020-10-25 16:05:35,-33.02,27.91,68.0,68,20,16.11,few clouds
14,Nabire,ID,2020-10-25 16:07:12,-3.37,135.48,75.65,88,68,4.63,light rain
15,Atlantic City,US,2020-10-25 16:07:12,39.36,-74.42,53.01,76,90,6.93,overcast clouds
16,Rikitea,PF,2020-10-25 16:07:13,-23.12,-134.97,71.83,88,100,19.01,moderate rain
17,Bredasdorp,ZA,2020-10-25 16:04:48,-34.53,20.04,64.4,68,100,12.75,overcast clouds
18,Mataura,NZ,2020-10-25 16:07:13,-46.19,168.86,45.0,96,100,2.57,light rain
19,Nikolskoye,RU,2020-10-25 16:07:13,59.7,30.79,42.8,87,90,2.19,overcast clouds
20,Tura,IN,2020-10-25 16:05:52,25.52,90.22,69.96,96,12,1.7,few clouds
21,Huesca,ES,2020-10-25 16:07:13,42.14,-0.41,59.0,67,75,2.24,broken clouds
22,Belmonte,BR,2020-10-25 16:07:13,-15.86,-38.88,82.4,69,75,14.99,broken clouds
23,Vaini,TO,2020-10-25 16:04:41,-21.2,-175.2,73.4,88,75,10.29,light rain
24,Yarim,YE,2020-10-25 16:07:14,14.3,44.38,58.62,34,6,2.04,clear sky
25,Kikwit,CD,2020-10-25 16:07:14,-5.04,18.82,82.06,74,96,2.1,overcast clouds
26,Albany,US,2020-10-25 16:07:14,42.6,-73.97,46.99,65,47,6.17,scattered clouds
27,Alofi,NU,2020-10-25 16:07:14,-19.06,-169.92,73.4,94,100,10.29,light rain
28,Port Alfred,ZA,2020-10-25 16:07:14,-33.59,26.89,67.95,74,42,11.43,scattered clouds
29,Cockburn Town,TC,2020-10-25 16:07:15,21.46,-71.14,83.71,78,63,23.09,broken clouds
30,Provideniya,RU,2020-10-25 16:04:28,64.38,-173.3,31.89,95,35,5.77,scattered clouds
31,Livingston,GB,2020-10-25 16:07:15,55.9,-3.52,52.0,66,40,20.8,scattered clouds
32,Hithadhoo,MV,2020-10-25 16:07:15,-0.6,73.08,83.53,71,37,5.06,scattered clouds
33,Yumen,CN,2020-10-25 16:07:15,40.28,97.2,37.06,62,55,11.99,broken clouds
34,Baiyin,CN,2020-10-25 16:07:15,36.56,104.21,48.99,52,0,2.24,clear sky
35,Tuktoyaktuk,CA,2020-10-25 16:07:16,69.45,-133.04,24.8,92,75,29.97,light snow
36,Kahului,US,2020-10-25 16:07:16,20.89,-156.47,75.2,64,1,5.82,clear sky
37,Barrow,US,2020-10-25 16:07:16,71.29,-156.79,26.6,73,90,3.36,overcast clouds
38,Boende,CD,2020-10-25 16:07:16,-0.22,20.87,78.19,84,89,2.19,light rain
39,Pisco,PE,2020-10-25 16:04:29,-13.7,-76.22,66.2,77,0,9.17,clear sky
40,Faya,SA,2020-10-25 16:07:16,18.39,42.45,69.8,49,20,10.29,few clouds
41,Busselton,AU,2020-10-25 16:07:17,-33.65,115.33,59.0,54,0,4.65,clear sky
42,Valdez,EC,2020-10-25 16:07:17,1.25,-78.98,79.81,76,65,7.9,broken clouds
43,Bengkulu,ID,2020-10-25 16:07:17,-3.8,102.27,75.83,87,100,4.12,moderate rain
44,Arraial Do Cabo,BR,2020-10-25 16:04:35,-22.97,-42.03,77.0,69,40,24.16,scattered clouds
45,Kodiak,US,2020-10-25 16:07:17,57.79,-152.41,46.4,93,90,5.82,light rain
46,Shimoda,JP,2020-10-25 16:07:17,34.67,138.95,60.82,59,0,6.55,clear sky
47,Grand Gaube,MU,2020-10-25 16:07:17,-20.01,57.66,71.01,84,44,11.01,light rain
48,Reichenau,PL,2020-10-25 16:07:18,50.91,14.96,55.99,80,0,3.0,clear sky
49,Campbell River,CA,2020-10-25 16:04:04,50.02,-125.24,30.0,92,75,2.24,broken clouds
50,Wilmington Island,US,2020-10-25 16:07:18,32.0,-80.97,78.01,83,75,3.33,broken clouds
51,Mahebourg,MU,2020-10-25 16:07:18,-20.41,57.7,75.2,73,75,11.41,shower rain
52,Castro,BR,2020-10-25 16:04:56,-24.79,-50.01,75.38,65,3,3.87,clear sky
53,Hilo,US,2020-10-25 16:07:18,19.73,-155.09,75.2,88,90,6.53,overcast clouds
54,Nishihara,JP,2020-10-25 16:07:19,26.18,127.76,73.4,64,75,9.17,broken clouds
55,Dubbo,AU,2020-10-25 16:02:49,-32.25,148.62,55.4,93,90,8.05,overcast clouds
56,Vitina,BA,2020-10-25 16:07:19,43.24,17.48,62.6,72,75,3.36,broken clouds
57,Lebu,CL,2020-10-25 16:07:19,-37.62,-73.65,54.27,57,0,7.05,clear sky
58,Shache,CN,2020-10-25 16:07:19,38.42,77.24,47.25,43,100,8.23,overcast clouds
59,Lucapa,AO,2020-10-25 16:07:20,-8.42,20.74,80.55,65,10,1.74,clear sky
60,Hay River,CA,2020-10-25 16:07:20,60.82,-115.8,10.4,85,75,4.7,broken clouds
61,Leo,BF,2020-10-25 16:07:20,11.1,-2.1,94.93,22,68,6.67,broken clouds
62,Khatanga,RU,2020-10-25 16:07:20,71.97,102.5,7.2,95,100,11.03,light snow
63,Esperance,AU,2020-10-25 16:07:20,-33.87,121.9,53.6,76,0,13.87,clear sky
64,Linhares,BR,2020-10-25 16:07:21,-19.39,-40.07,74.8,86,98,8.14,light rain
65,Huarmey,PE,2020-10-25 16:07:21,-10.07,-78.15,69.26,67,4,10.65,clear sky
66,Jamestown,US,2020-10-25 16:04:31,42.1,-79.24,45.0,69,75,8.05,broken clouds
67,Cape Canaveral,US,2020-10-25 16:07:21,28.41,-80.6,84.2,70,40,4.7,scattered clouds
68,Sibolga,ID,2020-10-25 16:07:21,1.74,98.78,76.86,79,100,2.71,heavy intensity rain
69,Sungaipenuh,ID,2020-10-25 16:07:21,-2.08,101.38,65.64,91,100,1.34,heavy intensity rain
70,Tucurui,BR,2020-10-25 16:07:22,-3.77,-49.67,101.55,34,15,1.99,few clouds
71,Bitung,ID,2020-10-25 16:07:22,1.45,125.18,75.2,94,40,8.28,scattered clouds
72,Matamoros,MX,2020-10-25 16:07:22,25.53,-103.25,73.4,35,5,2.91,clear sky
73,Qaqortoq,GL,2020-10-25 16:07:22,60.72,-46.03,41.0,41,100,16.11,overcast clouds
74,Butaritari,KI,2020-10-25 16:07:22,3.07,172.79,80.91,72,100,9.86,overcast clouds
75,Mount Gambier,AU,2020-10-25 16:07:22,-37.83,140.77,39.2,86,2,6.93,clear sky
76,Izhma,RU,2020-10-25 16:07:23,65.01,53.91,25.21,98,84,2.01,broken clouds
77,Morinville,CA,2020-10-25 16:07:23,53.8,-113.65,10.99,78,1,9.17,clear sky
78,Saint George,US,2020-10-25 16:05:18,37.1,-113.58,64.0,54,0,4.7,clear sky
79,Lensk,RU,2020-10-25 16:07:23,60.73,114.93,28.72,97,100,7.67,overcast clouds
80,Agrinion,GR,2020-10-25 16:07:23,38.62,21.41,68.0,68,20,4.7,few clouds
81,Meulaboh,ID,2020-10-25 16:07:23,4.14,96.13,77.43,79,97,4.0,overcast clouds
82,Sorong,ID,2020-10-25 16:05:09,-0.88,131.25,79.5,82,96,4.45,overcast clouds
83,Phek,IN,2020-10-25 16:07:24,25.67,94.5,57.15,100,1,0.81,clear sky
84,Sola,VU,2020-10-25 16:04:42,-13.88,167.55,79.56,83,91,18.61,light rain
85,Kununurra,AU,2020-10-25 16:07:24,-15.77,128.73,82.4,78,11,3.36,few clouds
86,Balkanabat,TM,2020-10-25 16:07:24,39.51,54.37,65.19,27,0,4.41,clear sky
87,Lakes Entrance,AU,2020-10-25 16:07:24,-37.88,147.98,52.0,93,88,12.55,overcast clouds
88,Touros,BR,2020-10-25 16:04:47,-5.2,-35.46,87.8,62,20,18.34,few clouds
89,Rawson,AR,2020-10-25 16:07:24,-43.3,-65.1,65.98,26,0,20.83,clear sky
90,Port Elizabeth,ZA,2020-10-25 16:07:25,-33.92,25.57,68.0,72,75,20.8,broken clouds
91,Panvel,IN,2020-10-25 16:07:25,18.98,73.1,86.0,84,40,4.7,haze
92,Ribeira Grande,PT,2020-10-25 16:07:25,38.52,-28.7,69.8,68,75,12.75,broken clouds
93,Upernavik,GL,2020-10-25 16:07:25,72.79,-56.15,14.65,77,26,4.74,scattered clouds
94,Chimbote,PE,2020-10-25 16:07:25,-9.09,-78.58,68.74,69,29,10.67,scattered clouds
95,Chara,RU,2020-10-25 16:07:25,56.91,118.26,31.06,90,100,1.79,overcast clouds
96,Norman Wells,CA,2020-10-25 16:07:26,65.28,-126.83,15.8,92,75,3.36,broken clouds
97,Cape Town,ZA,2020-10-25 16:06:02,-33.93,18.42,68.0,60,20,23.04,few clouds
98,Adrar,MR,2020-10-25 16:07:26,20.5,-10.07,99.18,9,49,10.8,scattered clouds
99,Fare,PF,2020-10-25 16:07:26,-16.7,-151.02,79.9,69,40,2.42,scattered clouds
100,Karratha,AU,2020-10-25 16:04:50,-20.74,116.85,69.15,88,0,12.17,clear sky
101,Pangnirtung,CA,2020-10-25 16:07:27,66.15,-65.71,16.23,83,21,3.58,few clouds
102,Lata,PT,2020-10-25 16:07:27,40.16,-8.33,63.0,85,99,7.0,light rain
103,Westport,US,2020-10-25 16:07:27,41.14,-73.36,51.01,53,1,9.17,clear sky
104,Lakselv,NO,2020-10-25 16:07:27,70.05,24.97,35.6,80,75,33.33,broken clouds
105,Constitucion,CL,2020-10-25 16:07:01,-35.33,-72.42,59.81,53,0,12.97,clear sky
106,Urdoma,RU,2020-10-25 16:07:27,61.75,48.54,28.63,98,99,5.44,overcast clouds
107,Mapiripan,CO,2020-10-25 16:07:27,2.89,-72.13,89.76,58,57,7.85,broken clouds
108,Mongomo,GQ,2020-10-25 16:07:28,1.63,11.31,77.0,83,90,3.69,thunderstorm
109,Cherskiy,RU,2020-10-25 16:07:28,68.75,161.3,12.85,96,99,1.14,overcast clouds
110,Kjollefjord,NO,2020-10-25 16:07:28,70.95,27.35,35.6,80,0,12.75,clear sky
111,Tiksi,RU,2020-10-25 16:07:28,71.69,128.87,5.54,90,100,31.52,overcast clouds
112,Saint-Philippe,RE,2020-10-25 16:07:28,-21.36,55.77,75.2,64,20,14.99,few clouds
