City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,2020-10-25 15:50:26,-0.74,-90.35,73.4,78,75,19.46,broken clouds
1,Mayo,US,2020-10-25 15:50:28,38.89,-76.51,48.99,87,90,8.05,moderate rain
2,Khatanga,RU,2020-10-25 15:50:30,71.97,102.5,7.2,95,100,11.03,light snow
3,Port Elizabeth,ZA,2020-10-25 15:50:32,-33.92,25.57,68.0,72,75,20.8,broken clouds
4,Barrow,US,2020-10-25 15:47:35,71.29,-156.79,26.6,73,90,3.36,overcast clouds
5,Winslow,US,2020-10-25 15:50:20,35.02,-110.7,60.8,38,1,6.93,clear sky
6,Mar Del Plata,AR,2020-10-25 15:46:28,-38.0,-57.56,64.4,93,90,6.93,moderate rain
7,Atuona,PF,2020-10-25 15:50:38,-9.8,-139.03,78.55,73,13,19.71,few clouds
8,Kennett,US,2020-10-25 15:49:55,36.24,-90.06,53.6,76,90,5.82,overcast clouds
9,Salinopolis,BR,2020-10-25 15:50:40,-0.61,-47.36,86.77,57,3,10.74,clear sky
10,Bredasdorp,ZA,2020-10-25 15:46:04,-34.53,20.04,64.4,68,100,12.75,overcast clouds
11,Astoria,US,2020-10-25 15:49:31,46.19,-123.83,39.0,74,1,6.93,clear sky
12,Bend,US,2020-10-25 15:50:44,44.06,-121.32,19.99,73,1,10.29,clear sky
13,Raudeberg,NO,2020-10-25 15:50:45,61.99,5.14,46.99,86,77,24.09,light rain
14,Mahebourg,MU,2020-10-25 15:50:47,-20.41,57.7,75.2,73,75,11.41,shower rain
15,New Norfolk,AU,2020-10-25 15:50:48,-42.78,147.06,48.2,66,90,8.05,overcast clouds
16,Iquitos,PE,2020-10-25 15:50:49,-3.75,-73.25,89.6,66,20,4.7,few clouds
17,Ushuaia,AR,2020-10-25 15:50:50,-54.8,-68.3,48.2,57,40,5.82,scattered clouds
18,Faanui,PF,2020-10-25 15:50:50,-16.48,-151.75,79.56,69,35,0.92,scattered clouds
19,Mount Gambier,AU,2020-10-25 15:50:51,-37.83,140.77,39.2,86,2,6.93,clear sky
20,East London,ZA,2020-10-25 15:50:52,-33.02,27.91,68.0,68,20,16.11,few clouds
21,Hobart,AU,2020-10-25 15:48:06,-42.88,147.33,48.2,66,90,8.05,overcast clouds
22,Ketchikan,US,2020-10-25 15:50:53,55.34,-131.65,39.2,69,90,5.82,overcast clouds
23,Ormara,PK,2020-10-25 15:50:54,25.21,64.64,77.76,63,0,3.0,clear sky
