City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-10-24 01:22:35,-23.12,-134.97,74.03,81,100,14.99
1,Dingle,PH,2020-10-24 01:22:35,11.0,122.67,75.87,92,100,10.0
2,Port Alfred,ZA,2020-10-24 01:22:35,-33.59,26.89,68.45,89,99,17.76
3,Barrow,US,2020-10-24 01:20:02,71.29,-156.79,28.4,92,90,10.29
4,Bathsheba,BB,2020-10-24 01:22:35,13.22,-59.52,84.2,70,40,24.16
5,Namatanai,PG,2020-10-24 01:21:21,-3.67,152.43,86.32,59,15,2.21
6,Albany,US,2020-10-24 01:22:35,42.6,-73.97,64.99,82,4,6.67
7,Tuktoyaktuk,CA,2020-10-24 01:22:36,69.45,-133.04,24.8,92,90,6.93
8,Norman Wells,CA,2020-10-24 01:22:36,65.28,-126.83,28.4,100,75,4.7
9,Ushuaia,AR,2020-10-24 01:22:36,-54.8,-68.3,41.0,82,75,8.05
10,Kattivakkam,IN,2020-10-24 01:22:36,13.22,80.32,78.8,83,75,9.17
11,Luderitz,NA,2020-10-24 01:22:36,-26.65,15.16,58.59,81,0,7.49
12,Ribeira Grande,PT,2020-10-24 01:22:36,38.52,-28.7,66.65,79,29,21.23
13,Kavieng,PG,2020-10-24 01:22:37,-2.57,150.8,84.61,62,84,3.98
14,Upernavik,GL,2020-10-24 01:18:06,72.79,-56.15,21.67,91,100,6.53
15,Cabo San Lucas,MX,2020-10-24 01:18:01,22.89,-109.91,86.0,58,5,10.29
16,Hobyo,SO,2020-10-24 01:22:37,5.35,48.53,81.07,77,100,11.01
17,Busselton,AU,2020-10-24 01:22:37,-33.65,115.33,61.0,55,0,4.0
18,Kapaa,US,2020-10-24 01:22:38,22.08,-159.32,82.0,78,90,10.29
19,Dezful,IR,2020-10-24 01:22:38,32.38,48.41,66.52,25,0,4.23
20,Los Llanos De Aridane,ES,2020-10-24 01:22:38,28.66,-17.92,68.0,72,40,9.17
21,Punta Arenas,CL,2020-10-24 01:19:21,-53.15,-70.92,44.6,75,75,5.82
22,Jamestown,US,2020-10-24 01:22:38,42.1,-79.24,70.0,60,75,12.75
23,Yellowknife,CA,2020-10-24 01:18:47,62.46,-114.35,23.0,73,40,6.93
24,Half Moon Bay,US,2020-10-24 01:22:38,37.46,-122.43,66.2,82,1,5.82
25,Harper,LR,2020-10-24 01:22:39,4.38,-7.72,76.87,90,79,6.69
26,Cuamba,MZ,2020-10-24 01:22:39,-14.8,36.54,70.02,62,0,1.21
27,Qaanaaq,GL,2020-10-24 01:22:39,77.48,-69.36,18.43,92,94,7.49
28,Ziarat,PK,2020-10-24 01:22:39,30.38,67.73,36.18,58,0,1.77
29,Hami,CN,2020-10-24 01:22:39,42.8,93.45,47.66,43,0,7.05
30,Mataura,NZ,2020-10-24 01:22:39,-46.19,168.86,72.0,49,99,15.99
31,Ranong,TH,2020-10-24 01:22:40,9.97,98.63,78.8,94,75,2.24
32,Ponta Do Sol,PT,2020-10-24 01:22:40,32.67,-17.1,66.2,63,40,6.93
33,Abu Samrah,SY,2020-10-24 01:22:40,35.3,37.18,65.25,28,0,5.21
34,Paita,PE,2020-10-24 01:22:40,-5.09,-81.11,62.64,85,100,11.83
35,Lebu,CL,2020-10-24 01:22:40,-37.62,-73.65,50.85,88,100,3.98
36,Kaz,RU,2020-10-24 01:22:40,52.91,87.31,32.49,97,100,0.81
37,Hobart,AU,2020-10-24 01:18:54,-42.88,147.33,61.0,62,75,12.75
38,Husavik,IS,2020-10-24 01:22:40,66.04,-17.34,41.0,80,90,6.93
39,Kodiak,US,2020-10-24 01:22:41,57.79,-152.41,46.4,93,90,18.34
40,Vaini,TO,2020-10-24 01:22:41,-21.2,-175.2,78.8,74,40,13.87
41,Chapeco,BR,2020-10-24 01:22:41,-27.1,-52.62,69.19,68,93,2.93
42,Kisesa,TZ,2020-10-24 01:22:41,-3.08,34.15,70.66,64,69,3.87
43,Sarangani,PH,2020-10-24 01:22:41,5.4,125.46,84.38,73,100,9.24
44,Kruisfontein,ZA,2020-10-24 01:22:41,-34.0,24.73,66.0,87,44,7.45
45,Mkushi,ZM,2020-10-24 01:22:41,-13.62,29.39,67.37,41,100,8.05
46,Novikovo,RU,2020-10-24 01:22:42,51.15,37.89,53.4,81,100,6.78
47,Develi,TR,2020-10-24 01:22:42,38.39,35.49,48.2,49,0,5.82
48,Amga,RU,2020-10-24 01:22:42,60.9,131.96,16.09,90,42,2.39
49,Ulety,RU,2020-10-24 01:22:42,51.36,112.48,34.54,83,0,1.28
50,North Bend,US,2020-10-24 01:22:42,43.41,-124.22,57.99,100,90,5.82
51,Oussouye,SN,2020-10-24 01:22:42,12.48,-16.55,78.8,94,40,2.24
52,San Policarpo,PH,2020-10-24 01:22:42,12.18,125.51,84.02,72,82,3.87
53,Nishihara,JP,2020-10-24 01:22:43,26.18,127.76,75.2,38,75,16.11
54,Arraial Do Cabo,BR,2020-10-24 01:22:43,-22.97,-42.03,73.4,78,40,16.11
55,Preobrazheniye,RU,2020-10-24 01:22:43,42.9,133.91,39.34,69,46,16.96
56,Kisangani,CD,2020-10-24 01:22:43,0.52,25.2,69.04,93,56,0.92
57,Stratford,US,2020-10-24 01:22:14,41.18,-73.13,62.6,88,90,6.93
58,Qeshm,IR,2020-10-24 01:22:44,26.96,56.27,71.6,26,0,6.93
59,Nadym,RU,2020-10-24 01:22:44,65.53,72.52,12.33,93,89,10.16
60,Morro Bay,US,2020-10-24 01:22:44,35.37,-120.85,64.99,87,100,1.01
61,Puerto Ayora,EC,2020-10-24 01:22:44,-0.74,-90.35,69.01,92,52,1.01
